,,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE
,,max,min,mean,median,std,var
STATION_NAME,PARAMETER,,,,,,
Golden,PM10,54.97902097902098,9.051898769541781,19.767662068030894,17.92587601078167,7.784419399559945,60.59718538824521
Golden,PM25,23.761133603238868,2.482015018492176,6.8873403808074665,6.453429169815073,3.268967556699469,10.686148886753697
Houston,PM10,38.64353486968452,7.524166183041728,15.98215446036695,14.506963788300835,5.600404159465743,31.364526749361197
Houston,PM25,78.49221999999999,1.697133757452574,6.989887948521943,5.983761203252044,6.268511079878729,39.29423115856238
Kelowna,PM10,45.20299727520436,8.096930533117932,14.977484603283148,14.34741144414169,4.875645447337392,23.771918528141835
Kelowna,PM25,29.31107443817205,1.7269789983844912,5.574206984279509,5.034373644683702,3.0630073214954296,9.382013851534607
Kitimat,PM10,16.62525283706068,4.473331701079632,8.870942650096802,8.77774321706989,2.157162998635663,4.653352202682806
Kitimat,PM25,10.495344450488146,1.2243940578577013,3.6037387060925283,3.126186405722839,1.5029484349023348,2.2588539979753777
Powell River,PM10,15.51105843882434,4.588919258549938,7.822259742565798,7.687594553706505,1.856941083206058,3.4482301864984883
Powell River,PM25,9.937292,1.016875,3.001960196701133,2.784895482130816,1.2666060648592299,1.604290923538184
Prince George,PM10,35.72035123055935,5.666855,15.860516073611397,15.736662106703147,4.128782519879636,17.046845096463638
Prince George,PM25,27.807641136026042,2.443587,7.820069191293485,7.153568234032835,3.3056234642161093,10.927146487176111
Quesnel,PM10,48.20865119903916,4.797082,16.825290620839006,15.789903489235337,5.449057104798542,29.69222333135547
Quesnel,PM25,35.741112868039245,0.9283600000000001,7.393053376729691,6.927952576379389,3.1345220906686175,9.825228736889562
Smithers,PM10,38.0,5.980137,15.47813432367223,14.660377358490566,4.64234104028632,21.551330334326675
Smithers,PM25,21.97169666935484,1.959090909090909,7.083673074677504,5.771196269073551,3.6359568467133188,13.22018219116146
Vancouver,PM10,19.203081232493,5.0,13.128417675847068,13.203366058906031,2.0777998161728966,4.317252076088122
Vancouver,PM25,11.580195258019526,1.8,5.33263121882109,5.147849462365591,1.5156984761596493,2.2973418706326827
Williams Lake,PM10,68.62548299572957,6.740832000000001,19.252199330441215,17.868055555555557,6.632751894814185,43.99339769816116
Williams Lake,PM25,49.34722867039883,1.952447507327289,6.167748320496108,5.488139305670816,3.912993755842164,15.311520133259767
